generating_institute     gfz-potsdam
     generating_date     2015/10/23
        product_type     gravity_field
                body     earth
           modelname     eigen-6c4
     max_used_degree          2190
         tide_system     tide_free
          functional     gravity_earth  (centrifugal term included)
                unit     mgal
          refsysname     WGS84
            gmrefpot      3.98600441800E+14 m**3/s**2
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810664747480E-03   (1/298.25722356300)
         omegarefpot      7.29211500000E-05 1/s
    normal_potential      6.263685171456948E+07 m**2/s**2
       long_lat_unit     degree
      latlimit_north      -6.0000000000000    
      latlimit_south      -20.000000000000    
      longlimit_west       319.00000000000    
      longlimit_east       329.00000000000    
            gridstep      0.10000000000000    
  latitude_parallels           141
 longitude_parallels           101
number_of_gridpoints         14241
            gapvalue        9999999.0000
       weighted_mean      9.7827218E+05 mgal
            maxvalue      9.7879470E+05 mgal
            minvalue      9.7784516E+05 mgal
         signal_wrms      1.9344986E+02 mgal
         grid_format     long_lat_height_value
 
          longitude    latitude  h_over_geoid  gravity_earth
            [deg.]      [deg.]     [meter]         [mgal]
end_of_head ======================================================
           319.0000     -6.0000     763.00   977884.247772267321
           319.1000     -6.0000     830.00   977871.796040102607
           319.2000     -6.0000     588.00   977922.023642076645
           319.3000     -6.0000     562.00   977926.165637773927
           319.4000     -6.0000     517.00   977933.660375772160
           319.5000     -6.0000     519.00   977934.599019849324
           319.6000     -6.0000     449.00   977950.501765488996
           319.7000     -6.0000     403.00   977966.977037912933
           319.8000     -6.0000     444.00   977961.525852458668
           319.9000     -6.0000     449.00   977970.825316773145
           320.0000     -6.0000     498.00   977955.174107647501
           320.1000     -6.0000     530.00   977947.362288253265
           320.2000     -6.0000     392.00   977985.864360481501
           320.3000     -6.0000     378.00   977995.638470192440
           320.4000     -6.0000     521.00   977963.458101624157
           320.5000     -6.0000     361.00   977985.609713728540
           320.6000     -6.0000     360.00   977973.846824902226
           320.7000     -6.0000     331.00   977975.246543276473
           320.8000     -6.0000     313.00   977982.723041731282
           320.9000     -6.0000     268.00   977996.947044170811
           321.0000     -6.0000     278.00   977995.672029453563
           321.1000     -6.0000     245.00   978005.158110886114
           321.2000     -6.0000     213.00   978021.490029558772
           321.3000     -6.0000     148.00   978047.477437569178
           321.4000     -6.0000     194.00   978037.951470741304
           321.5000     -6.0000     370.00   978011.205022474751
           321.6000     -6.0000     289.00   978031.517726951046
           321.7000     -6.0000     183.00   978055.599947663606
           321.8000     -6.0000     199.00   978053.410066002165
           321.9000     -6.0000     481.00   977974.580786522944
           322.0000     -6.0000     585.00   977950.118614762672
           322.1000     -6.0000     228.00   978042.646928627742
           322.2000     -6.0000     169.00   978050.886801551329
           322.3000     -6.0000     181.00   978046.526643436053
           322.4000     -6.0000     178.00   978046.275662366301
           322.5000     -6.0000     169.00   978044.260025817668
           322.6000     -6.0000     140.00   978051.994487719145
           322.7000     -6.0000     164.00   978047.155376121169
           322.8000     -6.0000     250.00   978049.497195566655
           322.9000     -6.0000     443.00   977985.923922542017
           323.0000     -6.0000      57.00   978061.317482826649
           323.1000     -6.0000      89.00   978062.827814590419
           323.2000     -6.0000     154.00   978050.656080741785
           323.3000     -6.0000     145.00   978056.405051972717
           323.4000     -6.0000     193.00   978044.384008666500
           323.5000     -6.0000     426.00   977996.825894481270
           323.6000     -6.0000     579.00   977964.852737004636
           323.7000     -6.0000     367.00   978007.264712948119
           323.8000     -6.0000     243.00   978029.711052073282
           323.9000     -6.0000     187.00   978038.549284026725
           324.0000     -6.0000     177.00   978047.979249061318
           324.1000     -6.0000     138.00   978066.903365008882
           324.2000     -6.0000     129.00   978080.209794841008
           324.3000     -6.0000     127.00   978078.314911551075
           324.4000     -6.0000     107.00   978083.688256439520
           324.5000     -6.0000      92.00   978086.495695161051
           324.6000     -6.0000      89.00   978091.241425807355
           324.7000     -6.0000      59.00   978098.886249968782
           324.8000     -6.0000      50.00   978105.136617128155
           324.9000     -6.0000       0.00   978125.911846602452
           325.0000     -6.0000       0.00   978150.645696408814
           325.1000     -6.0000       0.00   978150.269197787740
           325.2000     -6.0000       0.00   978156.778056823532
           325.3000     -6.0000       0.00   978121.837421595119
           325.4000     -6.0000       0.00   978121.895186297828
           325.5000     -6.0000       0.00   978098.887900785543
           325.6000     -6.0000       0.00   978068.554136318853
           325.7000     -6.0000       0.00   978066.464475882938
           325.8000     -6.0000       0.00   978058.342324190191
           325.9000     -6.0000       0.00   978063.683201264474
           326.0000     -6.0000       0.00   978069.698787357192
           326.1000     -6.0000       0.00   978080.345939463354
           326.2000     -6.0000       0.00   978083.285222507664
           326.3000     -6.0000       0.00   978084.776070541702
           326.4000     -6.0000       0.00   978089.475441150251
           326.5000     -6.0000       0.00   978093.034428394632
           326.6000     -6.0000       0.00   978097.792311476893
