generating_institute     gfz-potsdam
     generating_date     2015/10/23
        product_type     topography
                body     Earth
           modelname     etopo1_bin_int
          functional     topography_grd (grid)=>bi-linear interpolation
                unit     meter
          refsysname     WGS84
        radiusrefsys     6378137.000 m
          flatrefsys      3.352810664747480E-03   (1/298.25722356300)
       long_lat_unit     degree
      latlimit_north      -6.0000000000000    
      latlimit_south      -20.000000000000    
      longlimit_west       319.00000000000    
      longlimit_east       329.00000000000    
            gridstep      0.10000000000000    
  latitude_parallels           141
 longitude_parallels           101
number_of_gridpoints         14241
            gapvalue          99999.0000
       weighted_mean     -2.3631459E+03 meter
            maxvalue      1.0310000E+03 meter
            minvalue     -5.5730000E+03 meter
         signal_wrms      2.2910645E+03 meter
         grid_format     long_lat_value
 
          longitude    latitude    topography_grd
            [deg.]      [deg.]         [meter]
end_of_head ============================================
       319.000000     -6.000000     763.00
       319.100000     -6.000000     830.00
       319.200000     -6.000000     588.00
       319.300000     -6.000000     562.00
       319.400000     -6.000000     517.00
       319.500000     -6.000000     519.00
       319.600000     -6.000000     449.00
       319.700000     -6.000000     403.00
       319.800000     -6.000000     444.00
       319.900000     -6.000000     449.00
       320.000000     -6.000000     498.00
       320.100000     -6.000000     530.00
       320.200000     -6.000000     392.00
       320.300000     -6.000000     378.00
       320.400000     -6.000000     521.00
       320.500000     -6.000000     361.00
       320.600000     -6.000000     360.00
       320.700000     -6.000000     331.00
       320.800000     -6.000000     313.00
       320.900000     -6.000000     268.00
       321.000000     -6.000000     278.00
       321.100000     -6.000000     245.00
       321.200000     -6.000000     213.00
       321.300000     -6.000000     148.00
       321.400000     -6.000000     194.00
       321.500000     -6.000000     370.00
       321.600000     -6.000000     289.00
       321.700000     -6.000000     183.00
       321.800000     -6.000000     199.00
       321.900000     -6.000000     481.00
       322.000000     -6.000000     585.00
       322.100000     -6.000000     228.00
       322.200000     -6.000000     169.00
       322.300000     -6.000000     181.00
       322.400000     -6.000000     178.00
       322.500000     -6.000000     169.00
       322.600000     -6.000000     140.00
       322.700000     -6.000000     164.00
       322.800000     -6.000000     250.00
       322.900000     -6.000000     443.00
       323.000000     -6.000000      57.00
       323.100000     -6.000000      89.00
       323.200000     -6.000000     154.00
       323.300000     -6.000000     145.00
       323.400000     -6.000000     193.00
       323.500000     -6.000000     426.00
       323.600000     -6.000000     579.00
       323.700000     -6.000000     367.00
       323.800000     -6.000000     243.00
       323.900000     -6.000000     187.00
       324.000000     -6.000000     177.00
       324.100000     -6.000000     138.00
       324.200000     -6.000000     129.00
       324.300000     -6.000000     127.00
       324.400000     -6.000000     107.00
       324.500000     -6.000000      92.00
       324.600000     -6.000000      89.00
       324.700000     -6.000000      59.00
       324.800000     -6.000000      50.00
       324.900000     -6.000000      -4.00
       325.000000     -6.000000     -23.00
       325.100000     -6.000000    -229.00
       325.200000     -6.000000    -798.00
       325.300000     -6.000000   -1955.00
       325.400000     -6.000000   -1838.00
       325.500000     -6.000000   -2771.00
       325.600000     -6.000000   -3220.00
       325.700000     -6.000000   -3814.00
       325.800000     -6.000000   -3879.00
       325.900000     -6.000000   -4072.00
       326.000000     -6.000000   -4197.00
       326.100000     -6.000000   -4330.00
       326.200000     -6.000000   -4397.00
       326.300000     -6.000000   -4413.00
       326.400000     -6.000000   -4515.00
       326.500000     -6.000000   -4566.00
       326.600000     -6.000000   -4536.00
       326.700000     -6.000000   -4573.00
       326.800000     -6.000000   -4544.00
       326.900000     -6.000000   -4557.00
       327.000000     -6.000000   -4577.00
       327.100000     -6.000000   -4556.00
       327.200000     -6.000000   -4637.00
       327.300000     -6.000000   -4680.00
       327.400000     -6.000000   -4683.00
       327.500000     -6.000000   -4714.00
       327.600000     -6.000000   -4783.00
       327.700000     -6.000000   -4730.00
       327.800000     -6.000000   -4785.00
       327.900000     -6.000000   -4779.00
       328.000000     -6.000000   -4789.00
       328.100000     -6.000000   -4872.00
       328.200000     -6.000000   -4895.00
       328.300000     -6.000000   -4895.00
       328.400000     -6.000000   -4889.00
       328.500000     -6.000000   -4964.00
       328.600000     -6.000000   -5031.00
       328.700000     -6.000000   -4956.00
       328.800000     -6.000000   -5000.00
       328.900000     -6.000000   -5061.00
       329.000000     -6.000000   -5046.00
       319.000000     -6.100000     668.00
       319.100000     -6.100000     707.00
       319.200000     -6.100000     646.00
       319.300000     -6.100000     593.00
       319.400000     -6.100000     515.00
       319.500000     -6.100000     459.00
       319.600000     -6.100000     433.00
       319.700000     -6.100000     412.00
       319.800000     -6.100000     443.00
       319.900000     -6.100000     536.00
       320.000000     -6.100000     553.00
       320.100000     -6.100000     535.00
       320.200000     -6.100000     480.00
       320.300000     -6.100000     430.00
       320.400000     -6.100000     344.00
       320.500000     -6.100000     324.00
       320.600000     -6.100000     348.00
       320.700000     -6.100000     268.00
       320.800000     -6.100000     266.00
       320.900000     -6.100000     245.00
       321.000000     -6.100000     293.00
       321.100000     -6.100000     285.00
       321.200000     -6.100000     199.00
       321.300000     -6.100000     148.00
       321.400000     -6.100000     298.00
       321.500000     -6.100000     572.00
       321.600000     -6.100000     458.00
       321.700000     -6.100000     215.00
       321.800000     -6.100000     197.00
       321.900000     -6.100000     248.00
       322.000000     -6.100000     346.00
       322.100000     -6.100000     714.00
       322.200000     -6.100000     208.00
       322.300000     -6.100000     206.00
       322.400000     -6.100000     206.00
       322.500000     -6.100000     192.00
       322.600000     -6.100000     170.00
       322.700000     -6.100000     162.00
       322.800000     -6.100000     193.00
       322.900000     -6.100000     109.00
       323.000000     -6.100000     107.00
       323.100000     -6.100000     329.00
       323.200000     -6.100000     390.00
       323.300000     -6.100000     645.00
       323.400000     -6.100000     705.00
       323.500000     -6.100000     577.00
       323.600000     -6.100000     462.00
       323.700000     -6.100000     529.00
       323.800000     -6.100000     484.00
       323.900000     -6.100000     416.00
       324.000000     -6.100000     335.00
       324.100000     -6.100000     183.00
       324.200000     -6.100000     186.00
       324.300000     -6.100000     133.00
       324.400000     -6.100000     128.00
       324.500000     -6.100000     104.00
       324.600000     -6.100000      62.00
       324.700000     -6.100000      36.00
       324.800000     -6.100000       9.00
       324.900000     -6.100000       0.00
       325.000000     -6.100000     -19.00
       325.100000     -6.100000     -46.00
       325.200000     -6.100000    -801.00
       325.300000     -6.100000   -2121.00
       325.400000     -6.100000   -2772.00
       325.500000     -6.100000   -2843.00
       325.600000     -6.100000   -3278.00
       325.700000     -6.100000   -3309.00
       325.800000     -6.100000   -3612.00
       325.900000     -6.100000   -4112.00
       326.000000     -6.100000   -4158.00
       326.100000     -6.100000   -4330.00
       326.200000     -6.100000   -4374.00
       326.300000     -6.100000   -4385.00
       326.400000     -6.100000   -4380.00
       326.500000     -6.100000   -4485.00
       326.600000     -6.100000   -4556.00
       326.700000     -6.100000   -4542.00
       326.800000     -6.100000   -4611.00
       326.900000     -6.100000   -4642.00
       327.000000     -6.100000   -4617.00
       327.100000     -6.100000   -4610.00
       327.200000     -6.100000   -4649.00
       327.300000     -6.100000   -4695.00
       327.400000     -6.100000   -4691.00
       327.500000     -6.100000   -4746.00
       327.600000     -6.100000   -4618.00
       327.700000     -6.100000   -4808.00
       327.800000     -6.100000   -4825.00
       327.900000     -6.100000   -4793.00
       328.000000     -6.100000   -4838.00
       328.100000     -6.100000   -4861.00
       328.200000     -6.100000   -4904.00
       328.300000     -6.100000   -4938.00
       328.400000     -6.100000   -4935.00
       328.500000     -6.100000   -4946.00
       328.600000     -6.100000   -5010.00
       328.700000     -6.100000   -4980.00
       328.800000     -6.100000   -5003.00
       328.900000     -6.100000   -5040.00
       329.000000     -6.100000   -5077.00
       319.000000     -6.200000     694.00
       319.100000     -6.200000     658.00
       319.200000     -6.200000     639.00
       319.300000     -6.200000     484.00
       319.400000     -6.200000     502.00
       319.500000     -6.200000     432.00
       319.600000     -6.200000     424.00
       319.700000     -6.200000     382.00
       319.800000     -6.200000     402.00
       319.900000     -6.200000     416.00
       320.000000     -6.200000     416.00
