"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,33,"BRA","Brazil",1,"Acre",1,"Acrelândia","Município","Municipality",NA,NA
2,33,"BRA","Brazil",1,"Acre",2,"Assis Brazil","Município","Municipality",NA,NA
3,33,"BRA","Brazil",1,"Acre",3,"Brasiléia","Município","Municipality",NA,NA
4,33,"BRA","Brazil",1,"Acre",4,"Bujari","Município","Municipality",NA,NA
5,33,"BRA","Brazil",1,"Acre",5,"Capixaba","Município","Municipality",NA,NA
6,33,"BRA","Brazil",1,"Acre",6,"Cruzeiro do Sul","Município","Municipality",NA,NA
7,33,"BRA","Brazil",1,"Acre",7,"Epitaciolândia","Município","Municipality",NA,NA
8,33,"BRA","Brazil",1,"Acre",8,"Feijó","Município","Municipality",NA,NA
9,33,"BRA","Brazil",1,"Acre",9,"Jordão","Município","Municipality",NA,NA
10,33,"BRA","Brazil",1,"Acre",10,"Mâncio Lima","Município","Municipality",NA,NA
11,33,"BRA","Brazil",1,"Acre",11,"Manoel Urbano","Município","Municipality",NA,NA
12,33,"BRA","Brazil",1,"Acre",12,"Marechal Thaumaturgo","Município","Municipality",NA,NA
13,33,"BRA","Brazil",1,"Acre",13,"Plácido de Castro","Município","Municipality",NA,NA
14,33,"BRA","Brazil",1,"Acre",14,"Porto Acre","Município","Municipality",NA,NA
15,33,"BRA","Brazil",1,"Acre",15,"Porto Walter","Município","Municipality",NA,NA
16,33,"BRA","Brazil",1,"Acre",16,"Rio Branco","Município","Municipality",NA,NA
17,33,"BRA","Brazil",1,"Acre",17,"Rodrigues Alves","Município","Municipality",NA,NA
18,33,"BRA","Brazil",1,"Acre",18,"Santa Rosa do Purus","Município","Municipality",NA,NA
19,33,"BRA","Brazil",1,"Acre",19,"Sena Madureira","Município","Municipality",NA,NA
20,33,"BRA","Brazil",1,"Acre",20,"Senador Guiomard","Município","Municipality",NA,NA
21,33,"BRA","Brazil",1,"Acre",21,"Tarauacá","Município","Municipality",NA,NA
22,33,"BRA","Brazil",1,"Acre",22,"Xapuri","Município","Municipality",NA,NA
23,33,"BRA","Brazil",2,"Alagoas",23,"Água Branca","Município","Municipality",NA,NA
24,33,"BRA","Brazil",2,"Alagoas",24,"Anadia","Município","Municipality",NA,NA
25,33,"BRA","Brazil",2,"Alagoas",25,"Arapiraca","Município","Municipality",NA,NA
26,33,"BRA","Brazil",2,"Alagoas",26,"Ataléia","Município","Municipality",NA,NA
27,33,"BRA","Brazil",2,"Alagoas",27,"Barra de São Miguel","Município","Municipality",NA,NA
28,33,"BRA","Brazil",2,"Alagoas",28,"Barra de Santo Antônio","Município","Municipality",NA,NA
29,33,"BRA","Brazil",2,"Alagoas",29,"Batalha","Município","Municipality",NA,NA
30,33,"BRA","Brazil",2,"Alagoas",30,"Belém","Município","Municipality",NA,NA
31,33,"BRA","Brazil",2,"Alagoas",31,"Belo Monte","Município","Municipality",NA,NA
32,33,"BRA","Brazil",2,"Alagoas",32,"Boca da Mata","Município","Municipality",NA,NA
33,33,"BRA","Brazil",2,"Alagoas",33,"Branquinha","Município","Municipality",NA,NA
34,33,"BRA","Brazil",2,"Alagoas",34,"Cacimbinhas","Município","Municipality",NA,NA
35,33,"BRA","Brazil",2,"Alagoas",35,"Cajueiro","Município","Municipality",NA,NA
36,33,"BRA","Brazil",2,"Alagoas",36,"Campestre","Município","Municipality",NA,NA
37,33,"BRA","Brazil",2,"Alagoas",37,"Campo Alegre","Município","Municipality",NA,NA
38,33,"BRA","Brazil",2,"Alagoas",38,"Campo Grande","Município","Municipality",NA,NA
39,33,"BRA","Brazil",2,"Alagoas",39,"Canapi","Município","Municipality",NA,NA
40,33,"BRA","Brazil",2,"Alagoas",40,"Capela","Município","Municipality",NA,NA
41,33,"BRA","Brazil",2,"Alagoas",41,"Carneiros","Município","Municipality",NA,NA
42,33,"BRA","Brazil",2,"Alagoas",42,"Chã Preta","Município","Municipality",NA,NA
43,33,"BRA","Brazil",2,"Alagoas",43,"Coité do Nóia","Município","Municipality",NA,NA
44,33,"BRA","Brazil",2,"Alagoas",44,"Colônia Leopoldina","Município","Municipality",NA,NA
45,33,"BRA","Brazil",2,"Alagoas",45,"Coqueiro Seco","Município","Municipality",NA,NA
46,33,"BRA","Brazil",2,"Alagoas",46,"Coruripe","Município","Municipality",NA,NA
47,33,"BRA","Brazil",2,"Alagoas",47,"Craíbas","Município","Municipality",NA,NA
48,33,"BRA","Brazil",2,"Alagoas",48,"Delmiro Gouveia","Município","Municipality",NA,NA
49,33,"BRA","Brazil",2,"Alagoas",49,"Dois Riachos","Município","Municipality",NA,NA
50,33,"BRA","Brazil",2,"Alagoas",50,"Estrela de Alagoas","Município","Municipality",NA,NA
51,33,"BRA","Brazil",2,"Alagoas",51,"Feira Grande","Município","Municipality",NA,NA
52,33,"BRA","Brazil",2,"Alagoas",52,"Feliz Deserto","Município","Municipality",NA,NA
53,33,"BRA","Brazil",2,"Alagoas",53,"Flexeiras","Município","Municipality",NA,NA
54,33,"BRA","Brazil",2,"Alagoas",54,"Girau do Ponciano","Município","Municipality",NA,NA
55,33,"BRA","Brazil",2,"Alagoas",55,"Ibateguara","Município","Municipality",NA,NA
56,33,"BRA","Brazil",2,"Alagoas",56,"Igaci","Município","Municipality",NA,NA
57,33,"BRA","Brazil",2,"Alagoas",57,"Igreja Nova","Município","Municipality",NA,NA
58,33,"BRA","Brazil",2,"Alagoas",58,"Inhapi","Município","Municipality",NA,NA
59,33,"BRA","Brazil",2,"Alagoas",59,"Jacaré dos Homens","Município","Municipality",NA,NA
60,33,"BRA","Brazil",2,"Alagoas",60,"Jacuípe","Município","Municipality",NA,NA
61,33,"BRA","Brazil",2,"Alagoas",61,"Japaratinga","Município","Municipality",NA,NA
62,33,"BRA","Brazil",2,"Alagoas",62,"Jaramataia","Município","Municipality",NA,NA
